,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1346969798014472197,1346969798014472197,1609977599000.0,2021-01-06 23:59:59,+0100,,"What's their hurry? /s Thanks @JoeBiden  #WHITE_FASCIST_PRIVILEGE  https://t.co/SBhEiSXdhi  The ""noise"" is a signal @TheDemocrats #INDICT2021 to prevent #REICH2024.   #TRUMP_CRIMES #TREASON #SEDITION #INSURRECTION #OBSTRUCTION #ESPIONAGE #SABOTAGE #CRIMES_AGAINST_HUMANITY",en,"['white_fascist_privilege', 'indict2021', 'reich2024', 'trump_crimes', 'treason', 'sedition', 'insurrection', 'obstruction', 'espionage', 'sabotage', 'crimes_against_humanity']",[],1431906776,1431906776,JosiePhelix,phelix,3,23,https://twitter.com/JosiePhelix/status/1346969798014472197,['https://www.theguardian.com/us-news/2020/aug/27/white-supremacists-militias-infiltrate-us-police-report'],[],0,,False,0,0,0,https://twitter.com/DanLamothe/status/1346917938843029504,Biden,,,,,,,[],,,,
1,1346969797842636801,1346955683204390916,1609977599000.0,2021-01-06 23:59:59,+0100,,"@alferdez @JoeBiden ""voluntad popular""",es,[],[],542857397,542857397,GabiGaby88,Gabi Carmen🇦🇷,3,23,https://twitter.com/GabiGaby88/status/1346969797842636801,[],[],0,,False,1,0,0,,Biden,,,,,,,"[{'screen_name': 'alferdez', 'name': 'Alberto Fernández', 'id': '149991703'}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': '939091'}]",,,,
2,1346969797741879298,1346963890102558720,1609977599000.0,2021-01-06 23:59:59,+0100,,@ShaunKraisman @newsmax Biden will never be half of the country's president until a real audit shows he won.,en,[],[],1345827463369265154,1345827463369265154,DanBo27295067,Dan Bo,3,23,https://twitter.com/DanBo27295067/status/1346969797741879298,[],[],0,,False,1,1,0,,Biden,,,,,,,"[{'screen_name': 'ShaunKraisman', 'name': 'Shaun Kraisman', 'id': '24038596'}, {'screen_name': 'newsmax', 'name': 'Newsmax', 'id': '20545835'}]",,,,
3,1346969797687275520,1346969797687275520,1609977599000.0,2021-01-06 23:59:59,+0100,,None of this would have happened if Biden would just say look we understand the problem it is upsetting everyone until I'm going to authorize a commission to look into the selection process and any fraud that may or may not have happened and you will have a report.,en,[],[],1267502950319976448,1267502950319976448,Lady74241428,Lady,3,23,https://twitter.com/Lady74241428/status/1346969797687275520,[],[],0,,False,0,0,0,https://twitter.com/LindseyGrahamSC/status/1346929733553041409,Biden,,,,,,,[],,,,
4,1346969796982800384,1346940456211460096,1609977599000.0,2021-01-06 23:59:59,+0100,,@GregBro63987876 I call on Biden to step down HE is the reason for the Chaos!,en,[],[],87864112,87864112,Fan4Cal,RedRock1,3,23,https://twitter.com/Fan4Cal/status/1346969796982800384,[],[],0,,False,0,1,0,,Biden,,,,,,,[],,,,
5,1346969796772941828,1346896997127741441,1609977599000.0,2021-01-06 23:59:59,+0100,,@KazembeElvis @Talkshirandi @jacksonmukunda @JoeBiden Mêm obama a assuré une transition pacifique..since day one i knew the guy was a fraud...,fr,[],[],1106694447432171520,1106694447432171520,AlisambaYerodia,Ali Samba Yerodia,3,23,https://twitter.com/AlisambaYerodia/status/1346969796772941828,[],[],0,,False,2,1,1,,Biden,,,,,,,"[{'screen_name': 'KazembeElvis', 'name': 'Je suis Béni 💔💔💔💔', 'id': '947367982015053825'}, {'screen_name': 'jacksonmukunda', 'name': '🇨🇩 Jackson Mukunda 🇨🇩', 'id': '135123999'}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': '939091'}]",,,,
6,1346969795946803202,1346969795946803202,1609977599000.0,2021-01-06 23:59:59,+0100,,"Via @nickyotissmith: Before you all lose your jobs, I recommend salaried writers, editors, and publishers take 95 minutes aside before Biden’s inaugurated in two weeks to watch Jean Negulesco’s 1953 CinemaScope marvel How to Marry a Millionaire.   https://t.co/UxNX40wBh3",en,[],[],22315241,22315241,MUGGER1955,Russ Smith,3,23,https://twitter.com/MUGGER1955/status/1346969795946803202,['https://www.splicetoday.com/pop-culture/how-to-marry-a-bean-dad#.X_ZJ0VqczRk.twitter'],[],0,,False,4,1,3,,Biden,,,,,,,[],,,,
7,1346969795669815297,1346969795669815297,1609977599000.0,2021-01-06 23:59:59,+0100,,Donald Trump to do list:  1. Concede 2. Resign 3. Tell supporters he lost fairly 4. Tell supporters to accept Biden as president. 5. Tell supporters to be peaceful 6. Golf 7. Go to prison  .@realDonaldTrump,en,[],[],1263418879344177152,1263418879344177152,StefanK1117,Stefan Resists Coup,3,23,https://twitter.com/StefanK1117/status/1346969795669815297,[],[],0,,False,3,0,2,,Biden,,,,,,,[],,,,
8,1346969795657306112,1346969795657306112,1609977599000.0,2021-01-06 23:59:59,+0100,,Biden and Kamala are telling people to stop rioting and protesting now right cuz it ain’t their people THIS IS A JOKE! Your people ruined cities and hurt police officers and it wasn’t about George Floyd! We all know it!,en,[],[],531935529,531935529,frankiejr169,Frank Alonso Jr.,3,23,https://twitter.com/frankiejr169/status/1346969795657306112,[],[],0,,False,1,0,0,,Biden,,,,,,,[],,,,
9,1346969795435012097,1346969795435012097,1609977599000.0,2021-01-06 23:59:59,+0100,,Joe Biden pierwszy fałszywy prezydent USA wybrany w fałszywych wyborach. Wyborach sfałszowanych przez marksistów.,pl,[],[],106109915,106109915,adammucha,adammucha,3,23,https://twitter.com/adammucha/status/1346969795435012097,[],[],0,,False,1,0,0,https://twitter.com/GrzeF/status/1346962437657030659,Biden,,,,,,,[],,,,
