,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1322327418275811330,1322326738802634752,1604102398000.0,2020-10-30 23:59:58,+0100,,@Pablogapaisa Gostaria de saber quanto receberam para soltar o sujeito. #MAGA  #Trump2020  #Election2020  #BolsonaroAte2026  #GloboLixo,pt,"['maga', 'trump2020', 'election2020', 'bolsonaroate2026', 'globolixo']",[],3529539437,3529539437,MattarNeif,Jr.,5,23,https://twitter.com/MattarNeif/status/1322327418275811330,[],[],0,,False,0,0,0,,Election2020,,,,,,,"[{'screen_name': 'Pablogapaisa', 'name': 'Pablo Verdolaga 🇧🇷', 'id': '1240646162740322312'}]",,,,
1,1322327416874950659,1322327416874950659,1604102398000.0,2020-10-30 23:59:58,+0100,,#Election2020,und,['election2020'],[],886304009363083267,886304009363083267,Knightie48,Sarah J Cacioppo,5,23,https://twitter.com/Knightie48/status/1322327416874950659,[],[],0,,False,0,0,0,https://twitter.com/chick_in_kiev/status/1322258656235294720,Election2020,,,,,,,[],,,,
2,1322327398306795520,1322327398306795520,1604102394000.0,2020-10-30 23:59:54,+0100,,Outstanding! RT @nypost: We’re baaaaaaack  https://t.co/XaFPqKaL3b  https://t.co/kmdJGLsWcW #tcot #election2020,en,"['tcot', 'election2020']",[],26991652,26991652,Mach1Broker,Bob Wray,5,23,https://twitter.com/Mach1Broker/status/1322327398306795520,['https://trib.al/RmTc8Ra'],['https://pbs.twimg.com/media/ElnE8ToWkAQ7UzU.jpg'],1,https://pbs.twimg.com/media/ElnE8ToWkAQ7UzU.jpg,False,3,0,1,,Election2020,,,,,,,[],,,,
3,1322327388366139392,1322327388366139392,1604102391000.0,2020-10-30 23:59:51,+0100,,"It's #Election2020 season so push through your #corruption news fatigue and remember that #BenedictDonald milked the government for $2.5MM, in addition to all his other sins. #VoteBlueToSaveAmerica   https://t.co/aw7yBsvhoL",en,"['election2020', 'corruption', 'benedictdonald', 'votebluetosaveamerica']",[],37020200,37020200,esmenter,(((Scott))) is a liberal Zionist. Deal with it.,5,23,https://twitter.com/esmenter/status/1322327388366139392,['https://www.washingtonpost.com/politics/key-charges-trump-properties/2020/10/27/bfa39b08-16cd-11eb-82db-60b15c874105_story.html'],[],0,,False,0,0,0,,Election2020,,,,,,,[],,,,
4,1322327380388622336,1080252168693841925,1604102389000.0,2020-10-30 23:59:49,+0100,,"@JamesKraska @newscomauHQ @JerryHendrixII @ConsWahoo @US7thFleet @USNINews @USPacificFleet @INDOPACOM @drfarls @WarOnTheRocks @nukestrat @laraseligman @CSBA_ @RANDCorporation @NATO @NavalWarCollege @USNavy @C_M_Dougherty @CNASdc @DavidLarter @SCS_Disputes @Aviation_Intel @KyleMizokami @vgmenon99 @pinstripedline @TimDotChoi @MARPAC_FMARP @Australian_Navy @Chellaney @nktpnd @jmohanmalik @John_Pollock22 @USArmy @USMC @USNationalGuard @RCN_MARLANT @RoyalCanNavy #USNavy--further to above post, wild, dreaming in blue ocean technicolor, navalist dreams from National Security Adviser (for, er, now), by @DavidLarter (with even an #Afghanistan angle)  https://t.co/s63CTFiyJk #IndoPacific #NATO #PLANavy #USAF #USMC #USArmy #Election2020 #PRC",en,"['usnavy', 'afghanistan', 'indopacific', 'nato', 'planavy', 'usaf', 'usmc', 'usarmy', 'election2020', 'prc']",[],1242570896,1242570896,Mark3Ds,Mark Collins,5,23,https://twitter.com/Mark3Ds/status/1322327380388622336,['https://www.defensenews.com/naval/2020/10/30/as-its-term-winds-down-trumps-white-house-plots-a-major-naval-expansion/'],[],0,,False,0,0,0,,Election2020,,,,,,,"[{'screen_name': 'JamesKraska', 'name': 'James Kraska', 'id': '24614615'}, {'screen_name': 'newscomauHQ', 'name': 'news.com.au', 'id': '15250661'}, {'screen_name': 'JerryHendrixII', 'name': 'Jerry Hendrix', 'id': '2829890076'}, {'screen_name': 'ConsWahoo', 'name': 'Bryan McGrath', 'id': '19235973'}, {'screen_name': 'US7thFleet', 'name': '7th Fleet', 'id': '25930421'}, {'screen_name': 'USNINews', 'name': 'USNI News', 'id': '960947017'}, {'screen_name': 'USPacificFleet', 'name': 'U.S. Pacific Fleet', 'id': '28468549'}, {'screen_name': 'INDOPACOM', 'name': 'U.S. Indo-Pacific Command', 'id': '24112747'}, {'screen_name': 'drfarls', 'name': 'Robert Farley', 'id': '51089691'}, {'screen_name': 'WarOnTheRocks', 'name': 'War on the Rocks', 'id': '1444029422'}, {'screen_name': 'nukestrat', 'name': 'Hans Kristensen', 'id': '21959034'}, {'screen_name': 'laraseligman', 'name': 'Lara Seligman', 'id': '49510236'}, {'screen_name': 'CSBA_', 'name': 'CSBA', 'id': '1454304487'}, {'screen_name': 'RANDCorporation', 'name': 'RAND Corporation', 'id': '22545453'}, {'screen_name': 'NATO', 'name': 'NATO', 'id': '83795099'}, {'screen_name': 'NavalWarCollege', 'name': 'Naval War College', 'id': '18633493'}, {'screen_name': 'USNavy', 'name': 'U.S. Navy', 'id': '54885400'}, {'screen_name': 'C_M_Dougherty', 'name': 'Christopher M. Dougherty', 'id': '1060358400259821569'}, {'screen_name': 'CNASdc', 'name': 'CNAS', 'id': '41124675'}, {'screen_name': 'DavidLarter', 'name': 'David B. Larter', 'id': '377419742'}, {'screen_name': 'SCS_Disputes', 'name': 'SCS_Disputes', 'id': '800883578770857984'}, {'screen_name': 'Aviation_Intel', 'name': 'Tyler Rogoway', 'id': '613212190'}, {'screen_name': 'KyleMizokami', 'name': 'Kyle Mizokami', 'id': '9576002'}, {'screen_name': 'vgmenon99', 'name': 'Venugopal Vengalil', 'id': '879349123'}, {'screen_name': 'pinstripedline', 'name': 'Sir Humphrey', 'id': '483928153'}, {'screen_name': 'TimDotChoi', 'name': 'Timothy Choi', 'id': '119883355'}, {'screen_name': 'MARPAC_FMARP', 'name': 'MARPAC/FMAR(P)', 'id': '24404025'}, {'screen_name': 'Australian_Navy', 'name': 'Royal Australian Navy', 'id': '63999908'}, {'screen_name': 'Chellaney', 'name': 'Brahma Chellaney', 'id': '19329136'}, {'screen_name': 'nktpnd', 'name': 'Ankit Panda', 'id': '153503737'}, {'screen_name': 'jmohanmalik', 'name': 'Mohan Malik 实事求是', 'id': '2785575176'}, {'screen_name': 'John_Pollock22', 'name': 'John Pollock', 'id': '369742480'}, {'screen_name': 'USArmy', 'name': 'U.S. Army', 'id': '8775672'}, {'screen_name': 'USMC', 'name': 'U.S. Marines', 'id': '10126672'}, {'screen_name': 'USNationalGuard', 'name': 'National Guard', 'id': '31310158'}, {'screen_name': 'RCN_MARLANT', 'name': 'MARLANT', 'id': '291811655'}, {'screen_name': 'RoyalCanNavy', 'name': 'Royal Canadian Navy', 'id': '438399143'}]",,,,
5,1322327363703767041,1322327363703767041,1604102385000.0,2020-10-30 23:59:45,+0100,,Today I totally cried at the polls while casting my vote. #Vote. Lives depend on it. #Election2020,en,"['vote', 'election2020']",[],24454198,24454198,cacoughlin,Charlene A. Coughlin,5,23,https://twitter.com/cacoughlin/status/1322327363703767041,[],[],0,,False,5,0,0,https://twitter.com/ericswalwell/status/1322161334696386560,Election2020,,,,,,,[],,,,
6,1322327352123314187,1322327352123314187,1604102383000.0,2020-10-30 23:59:43,+0100,,"Jaime Harrison, a black man, will fill a Senate seat held by the racists John C Calhoun and Strom Thurmond. #sendlindseyhome  #SCDebate #Election2020 @jaimeharrison #LindseyGrahamSC",en,"['sendlindseyhome', 'scdebate', 'election2020', 'lindseygrahamsc']",[],1365670718,1365670718,CHSpolitico,Dr. Bonnie Cleaveland,5,23,https://twitter.com/CHSpolitico/status/1322327352123314187,[],[],0,,False,2,0,0,,Election2020,,,,,,,[],,,,
7,1322327337392840707,1322327337392840707,1604102379000.0,2020-10-30 23:59:39,+0100,,"“Where to find patriotic popcorn, free beer, candidate-themed sandwiches, &amp; “Covfefe” cocktails on Tuesday, November 3” #ElectionDay #Election2020  #VoteEarly  https://t.co/8FfNn1ERfS",en,"['electionday', 'election2020', 'voteearly']",[],713165122710192128,713165122710192128,RachelinaBinDC,Rachelina Bonacci,5,23,https://twitter.com/RachelinaBinDC/status/1322327337392840707,['https://dc.eater.com/2020/10/27/21536638/dc-area-restaurants-election-day-specials-trump-biden'],[],0,,False,0,0,0,,Election2020,,,,,,,[],,,,
8,1322327321345445888,1322327321345445888,1604102375000.0,2020-10-30 23:59:35,+0100,,"Happy Halloween to everybody! #Halloween  By the way, if you're American, have you voted yet or will you vote on/before #November3rd, #ElectionDay? #Election2020  Will you #vote VP Joe Biden or President Donald Trump? #Biden #POTUS #Trump  #Elections2020 #USElection2020 #Vote2020",en,"['halloween', 'november3rd', 'electionday', 'election2020', 'vote', 'biden', 'potus', 'trump', 'elections2020', 'uselection2020', 'vote2020']",[],835933373738672128,835933373738672128,StigSpielberg,StigSpielberg,5,23,https://twitter.com/StigSpielberg/status/1322327321345445888,[],[],0,,False,0,0,1,,Election2020,,,,,,,[],,,,
9,1322327303297421315,1322327303297421315,1604102371000.0,2020-10-30 23:59:31,+0100,,There are many people who I like and respect who will vote differently than me in this election.  I will still like and respect them.  It saddens me that in 2020 this is not normal behavior.  #Election2020,en,['election2020'],[],1040737855872618498,1040737855872618498,LaytonEric,Eric Layton,5,23,https://twitter.com/LaytonEric/status/1322327303297421315,[],[],0,,False,0,0,0,,Election2020,,,,,,,[],,,,
