,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1320137999733067776,1320137999733067776,1603580400000.0,2020-10-25 00:00:00,+0100,,Check out  https://t.co/LFgINO6Rpw to find more deals like the one below! #Savings #Mobile #cell #Phone #cheap #prepay #referral #Hawaii #Frugal #HI #Kauai #Unlimited #Stream #tmobile #website #winter #Fall #october #Deodorant #Election2020 #Social #TikTok #IG #Twitter #Natural  https://t.co/m7Cp2qiiqX,en,"['savings', 'mobile', 'cell', 'phone', 'cheap', 'prepay', 'referral', 'hawaii', 'frugal', 'hi', 'kauai', 'unlimited', 'stream', 'tmobile', 'website', 'winter', 'fall', 'october', 'deodorant', 'election2020', 'social', 'tiktok', 'ig', 'twitter', 'natural']",[],31049345,31049345,JustinWisty,Justin Wisty,7,00,https://twitter.com/JustinWisty/status/1320137999733067776,['http://rebrand.ly/jsocial'],['https://pbs.twimg.com/media/ElCexc6VgAAbwW_.jpg'],1,https://pbs.twimg.com/media/ElCexc6VgAAbwW_.jpg,False,0,0,0,,Election2020,,,,,,,[],,,,
1,1320137994062286848,1320137994062286848,1603580399000.0,2020-10-24 23:59:59,+0100,,Love rules if you vote #Election2020,en,['election2020'],[],22538531,22538531,muse_mf,Muse MF BA (rking mad),6,23,https://twitter.com/muse_mf/status/1320137994062286848,[],[],0,,False,0,0,0,https://twitter.com/Gothamist/status/1320127803757633542,Election2020,,,,,,,[],,,,
2,1320137983668985856,1320137983668985856,1603580396000.0,2020-10-24 23:59:56,+0100,,“The future of this republic is in the hands of the American voter.” Dwight D. Eisenhower Counting down to #ElectionDay w/powerful quotes from past Presidents. Please #vote2020 #Election2020,en,"['electionday', 'vote2020', 'election2020']",[],390259108,390259108,SoulFireGypsy,Jeny D.,6,23,https://twitter.com/SoulFireGypsy/status/1320137983668985856,[],[],0,,False,0,0,0,,Election2020,,,,,,,[],,,,
3,1320137957777563648,1320137957777563648,1603580390000.0,2020-10-24 23:59:50,+0100,,Final week before #Election2020,en,['election2020'],[],1266357803201048576,1266357803201048576,MillerMitsu,Mitsu Miller,6,23,https://twitter.com/MillerMitsu/status/1320137957777563648,[],[],0,,False,0,0,0,,Election2020,,,,,,,[],,,,
4,1320137925040984065,1320137925040984065,1603580382000.0,2020-10-24 23:59:42,+0100,,All these players tried to undermine the Trump campaign in 2016 and they lost. This time they have doubled or tripled their efforts in #Election2020. #Trump2020 #GOP #tcot #ccot,en,"['election2020', 'trump2020', 'gop', 'tcot', 'ccot']",[],17586038,17586038,nyinvesting,Daryl Montgomery,6,23,https://twitter.com/nyinvesting/status/1320137925040984065,[],[],0,,False,1,0,0,https://twitter.com/LisaMarieBoothe/status/1320035505472491520,Election2020,,,,,,,[],,,,
5,1320137916753084417,1320137916753084417,1603580380000.0,2020-10-24 23:59:40,+0100,,"if you’re driving down i10 in #houston towards Katy, there’s traffic. it’s a trump/pence car parade holding up traffic. looks like they’re ending at fry and fry access road by target. #Election2020",en,"['houston', 'election2020']",[],794043027127840768,794043027127840768,_januaryyy,"sure, jan. 🙄",6,23,https://twitter.com/_januaryyy/status/1320137916753084417,[],[],0,,False,1,2,0,,Election2020,,,,,,,[],,,,
6,1320137909303975936,1320137909303975936,1603580379000.0,2020-10-24 23:59:39,+0100,,"Joe Biden created one job in 47 years, and it was for Hunter￼ #Election2020",en,['election2020'],[],703282136669786112,703282136669786112,Angelawomack10,Angela womack,6,23,https://twitter.com/Angelawomack10/status/1320137909303975936,[],[],0,,False,5,0,0,,Election2020,,,,,,,[],,,,
7,1320137892509982720,1320137892509982720,1603580375000.0,2020-10-24 23:59:35,+0100,,"#Elections2020 #Election2020 #ElectionDay #ritaglidistampa #Trump  🅻🅰 🅵🅰🆃🅰🅻🅴 🆂🅾🆃🆃🅾🆅🅰🅻🆄🆃🅰🆉🅸🅾🅽🅴 - 13 𝗜𝗻 𝗱𝗶𝗿𝗲𝘇𝗶𝗼𝗻𝗲 𝗱𝗶 𝗪𝗮𝘀𝗵𝗶𝗻𝗴𝘁𝗼𝗻, 𝗗.𝗖. @Gazzetta_it  #3marzo2016 #GiorgioDellArti  https://t.co/FB96Y8StuM",in,"['elections2020', 'election2020', 'electionday', 'ritaglidistampa', 'trump', '3marzo2016', 'giorgiodellarti']",[],2813529980,2813529980,Frank201410,𝔽𝕣𝕒𝕟𝕜 𝕕𝕚 ℙℙℝ,6,23,https://twitter.com/Frank201410/status/1320137892509982720,[],['https://pbs.twimg.com/media/ElIQaXUXgAIwgCl.jpg'],1,https://pbs.twimg.com/media/ElIQaXUXgAIwgCl.jpg,False,2,0,0,,Election2020,,,,,,,[],,,,
8,1320137746820796417,1320137746820796417,1603580340000.0,2020-10-24 23:59:00,+0100,,"Casting our votes in beautiful Downtown Alexandria with Ryan, @msawtelle18, @lsawtelle, &amp; @JSawtelle4. While they didn’t have stickers we got the digital keepsake from the @Louisiana_sos website. Remember early voting ends Tuesday. #WeVoted🗳 #Election2020  #DowntownIsTheCampus😺  https://t.co/3awcHJ1xNJ",en,"['wevoted', 'election2020', 'downtownisthecampus']",[],1267163744,1267163744,jimmysawtelle,Dr. Jimmy Sawtelle,6,23,https://twitter.com/jimmysawtelle/status/1320137746820796417,[],['https://pbs.twimg.com/media/ElISSDmWMAEvYSt.jpg'],1,https://pbs.twimg.com/media/ElISSDmWMAEvYSt.jpg,False,12,0,1,,Election2020,,,,,,,[],,,,
9,1320137634530852871,1320137634530852871,1603580313000.0,2020-10-24 23:58:33,+0100,,One for the ages.... Beautiful Documentary. Well done. #Election2020 #MakeSureYouVote   https://t.co/EwX5UDlMXC  https://t.co/yC5vFB0wff,en,"['election2020', 'makesureyouvote']",[],390225702,390225702,ssheridanknows,S. Sheridan,6,23,https://twitter.com/ssheridanknows/status/1320137634530852871,['https://itunes.apple.com/us/movie/the-way-i-see-it/id1534676512'],['https://pbs.twimg.com/media/ElISLoIWMAAqCjH.jpg'],1,https://pbs.twimg.com/media/ElISLoIWMAAqCjH.jpg,False,1,1,0,,Election2020,,,,,,,[],,,,
10,1320137531707527173,1320137531707527173,1603580289000.0,2020-10-24 23:58:09,+0100,,"Republicans crash #Florida early vote, eating into Democrats’ lead. .   https://t.co/FboA9hFD1B via @politico #Election2020 #VoteEarly #Vote2020 #VoteBlue",en,"['florida', 'election2020', 'voteearly', 'vote2020', 'voteblue']",[],18845008,18845008,Annietiques,"Wash your hands, ya filthy animal. . .",6,23,https://twitter.com/Annietiques/status/1320137531707527173,['https://politi.co/3omSwHK'],[],0,,False,0,1,2,,Election2020,,,,,,,[],,,,
11,1320137513839792130,1320137513839792130,1603580284000.0,2020-10-24 23:58:04,+0100,,Insulting.  “A swath of people”  “I had to remind him he was a Black Person.” Democrats think you’re stupid. #vote #Election2020  #disrespectful @jimmyfallon you laughed. Do you support this racism? #JimmyFallon,en,"['vote', 'election2020', 'disrespectful', 'jimmyfallon']",[],356620379,356620379,coasttcoastgirl,Sherri Stalford,6,23,https://twitter.com/coasttcoastgirl/status/1320137513839792130,[],[],0,,False,1,0,0,https://twitter.com/DineshDSouza/status/1320082477415862272,Election2020,,,,,,,[],,,,
12,1320137500036337666,1320137500036337666,1603580281000.0,2020-10-24 23:58:01,+0100,,57% of workers say they have talked about #politics while on the job — even though 60% say they “believe discussing politics at work is unacceptable.” #PoliticsintheWorkplace #Election2020 #HumanResources #HR #Communication #WorkforceManagement  https://t.co/nFlkmE2bQm,en,"['politics', 'politicsintheworkplace', 'election2020', 'humanresources', 'hr', 'communication', 'workforcemanagement']",[],24800281,24800281,payscale,PayScale,6,23,https://twitter.com/payscale/status/1320137500036337666,['https://at.pysc.al/b0fa8'],[],0,,False,0,0,0,,Election2020,,,,,,,[],,,,
13,1320137330254987265,1320137330254987265,1603580241000.0,2020-10-24 23:57:21,+0100,,"Did my duty! Feels so good to get my voice heard once again!  Hope everyone go out, Get yourself registered &amp; make your voices heard! (If you don’t vote, You can’t complain no matter what the result turn out to be!) 🙏🙏🙏  #Election2020 #Vote2020 #LetsGoAmerica  https://t.co/NoMORPcUD0",en,"['election2020', 'vote2020', 'letsgoamerica']",[],21542631,21542631,OnePrince93,Eric Phan 藩田,6,23,https://twitter.com/OnePrince93/status/1320137330254987265,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1320137308436262912/pu/img/R1zNlZ7ihmpTIAJj.jpg,False,0,0,0,,Election2020,,,,,,,[],,,,
14,1320137328292171777,1320095276628148226,1603580240000.0,2020-10-24 23:57:20,+0100,,"@catturd2 Well, he could launder money through one. #Election2020",en,['election2020'],[],214255050,214255050,NashBillTN,William,6,23,https://twitter.com/NashBillTN/status/1320137328292171777,[],[],0,,False,0,0,0,,Election2020,,,,,,,"[{'screen_name': 'catturd2', 'name': 'Catturd ™', 'id': '1043185714437992449'}]",,,,
15,1320137299041071104,1320137299041071104,1603580233000.0,2020-10-24 23:57:13,+0100,,تصمیم داشتم امروز رای‌ام را به صندوق بیاندازم،اما حوزه رای‌گیری منطقه ما به اندازه شلوغ و صف‌اش طولانی بود که تصمیم گرفتم فردا این کار را بکنم به این امید که شاید صف کوتاه‌تر باشد!  #Election2020,fa,['election2020'],[],16830419,16830419,mirebrahimi,Roozbeh Mirebrahimi روزبه میرابراهیمی,6,23,https://twitter.com/mirebrahimi/status/1320137299041071104,[],[],0,,False,6,0,0,,Election2020,,,,,,,[],,,,
16,1320137281374748672,1320137281374748672,1603580229000.0,2020-10-24 23:57:09,+0100,,"This election is about Trump. Given the mediocre candidate on the other side, one can vote for Trump or against Trump. I am voting against. #Election2020",en,['election2020'],[],216865166,216865166,mketabchi,Mehrdad Ketabchi,6,23,https://twitter.com/mketabchi/status/1320137281374748672,[],[],0,,False,0,0,0,,Election2020,,,,,,,[],,,,
17,1320137267785203713,1306789292166049792,1603580226000.0,2020-10-24 23:57:06,+0100,,Today in #Election2020 a group of us @MomsDemand volunteers gave video testimonials for @J_Shackelford!  I also phone banked to GOTV for @nicolergalloway and other gun sense candidates. Still had time to cheer for @MizzouFootball! #MomsAreEverywhere #WatchUsWork #moleg #mogov  https://t.co/uwGzCOxEp7,en,"['election2020', 'momsareeverywhere', 'watchuswork', 'moleg', 'mogov']",[],21459028,21459028,mizzouatheart,Gun Sense MO Mom,6,23,https://twitter.com/mizzouatheart/status/1320137267785203713,[],"['https://pbs.twimg.com/media/ElIR2FIXYAAq5q5.jpg', 'https://pbs.twimg.com/media/ElIR2FGXYAM8DOX.jpg', 'https://pbs.twimg.com/media/ElIR2FHWMAEhRH9.jpg', 'https://pbs.twimg.com/media/ElIR2FVWkAAjbOr.jpg']",1,https://pbs.twimg.com/media/ElIR2FIXYAAq5q5.jpg,False,11,1,3,,Election2020,,,,,,,[],,,,
18,1320137024674856961,1320137024674856961,1603580168000.0,2020-10-24 23:56:08,+0100,,Joe Biden says VERY CLEARLY that he has put togther the most extensive VOTER FRAUD operation in history #Election2020 #Trump2020 #GOP #tcot #ccot #tlot #TeaParty,en,"['election2020', 'trump2020', 'gop', 'tcot', 'ccot', 'tlot', 'teaparty']",[],17586038,17586038,nyinvesting,Daryl Montgomery,6,23,https://twitter.com/nyinvesting/status/1320137024674856961,[],[],0,,False,10,2,6,https://twitter.com/kayleighmcenany/status/1320117044612943872,Election2020,,,,,,,[],,,,
19,1320137013568237568,1320137013568237568,1603580165000.0,2020-10-24 23:56:05,+0100,,"It’s Saturday, so we’re getting out the vote for @conniechansf in SF District 1! 💙💪 #Election2020  https://t.co/ifxDE5ifge",en,['election2020'],[],282260758,282260758,IFPTE21,IFPTE Local 21 🏳️‍🌈🏳️‍⚧️,6,23,https://twitter.com/IFPTE21/status/1320137013568237568,[],['https://pbs.twimg.com/media/ElIRnB_VMAAg07Y.jpg'],1,https://pbs.twimg.com/media/ElIRnB_VMAAg07Y.jpg,False,15,0,3,,Election2020,,,,,,,[],,,,
20,1320136947323400192,1320136947323400192,1603580149000.0,2020-10-24 23:55:49,+0100,,"""To make high quality information around the 2020 US elections more accessible, we're adding context to Trends and only displaying Trends with added context in the For you tab.""  Because my mind needs training wheels. #ThanksJack #Election2020  #Censorship2020",en,"['thanksjack', 'election2020', 'censorship2020']",[],1733545994,1733545994,LtGenScott,Winfield Scott,6,23,https://twitter.com/LtGenScott/status/1320136947323400192,[],[],0,,False,2,1,0,,Election2020,,,,,,,[],,,,
